isbn,title,book_author,year_of_publication,publisher,stock
0671000306,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket,57
0671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket,91
1561672033,Antipodes 10,John Pascal,1995,Noble House,31
0425178242,Kick Ass: Selected Columns of Carl Hiaasen,Carl Hiaasen,2001,Berkley Publishing Group,92
0618173870,Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002,Houghton Mifflin Company,23
0156027321,Life of Pi,Yann Martel,2003,Harvest Books,9
0375403582,Rules of the Wild,Francesca Marciano,1998,Random House Inc,76
0385721420,Three Junes,JULIA GLASS,2003,Anchor,48
0451202341,Back Roads,Tawni O'Dell,2001,Signet Book,88
0743418190,In Her Shoes : A Novel,Jennifer Weiner,2002,Atria Books,11
0385335407,The Kiss,Danielle Steel,2001,Delacorte Press,87
0965746828,Home Spun: A Collection,Leon Hale,1997,Winedale Publishing,7
0060923245,Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992,Perennial,29
0486272664,The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992,Dover Publications,7
0786015276,11th Hour,Bradley Warshauer,2003,Pinnacle Books,57
0060913509,In Country RI,Bobbie Ann Mason,1986,Perennial,68
0553272837,Brazen Virtue,Nora Roberts,1996,Bantam Books,78
0440225078,Ghost Moon,Karen Robards,2001,Dell Publishing Company,99
0312145543,Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,1996,St Martins Pr,94
0425181111,Strangers,Dean R. Koontz,2002,Berkley Publishing Group,74
0380732688,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon,86
0140286276,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books,69
0373484100,Night Tales,Nora Roberts,2000,Silhouette,57
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,64
0553107305,Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam,68
080213825X,Four Blondes,Candace Bushnell,2001,Grove Press,20
0515127833,River's End,Nora Roberts,2003,Jove Books,69
0345441133,Summer Island,KRISTIN HANNAH,2002,Ballantine Books,32
0515134279,The Straw Men,Michael Marshall,2002,Jove Books,27
0945586051,The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,1989,Editech Pr,28
0385490992,The Street Lawyer,John Grisham,1998,Doubleday Books,67
0385424728,The Chamber,John Grisham,1994,Doubleday Books,49
0312980388,Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002,St. Martin's Paperbacks,24
0590419625,The Teacher from the Black Lagoon,Mike Thaler,1989,Scholastic,24
0385472951,The Partner,John Grisham,1997,Doubleday Books,89
0451195663,Primal Scream,Michael Slade,1998,Signet Book,77
0425182878,Chosen Prey,John Sandford,2004,Berkley Publishing Group,20
0553564528,Guilty as Sin,TAMI HOAG,1997,Bantam,16
055356451X,Night Sins,TAMI HOAG,1995,Bantam,87
0743412621,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket,4
0849943728,Three,Ted Dekker,2003,WestBow Press,86
0849943450,The Canopy,Angela Elwell Hunt,2003,WestBow Press,63
084994371X,Blink,Ted Dekker,2003,WestBow Press,95
0590406019,Last Battle,C. S. Lewis,1988,Scholastic Paperbacks (Mm),99
0020442408,Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.,30
0553225987,Robert's Rules of Order,William Eisner,1986,Bantam Books,99
042517736X,Abduction,Robin Cook,2000,Berkley Publishing Group,30
0671868713,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket,72
038549825X,Not a Day Goes By : A Novel,E. LYNN HARRIS,2001,Anchor,66
0553202294,Sun Signs,Linda Goodman,1981,Bantam Doubleday Dell,46
0345313860,The Vampire Lestat (Vampire Chronicles, Book II),ANNE RICE,1986,76
0345369947,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books,87
067170124X,HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,1991,Pocket,44
0345353625,Her Mother's Daughter,Marilyn French,1990,Ballantine Books,81
0308102282,Your Erroneous Zones,Wayne W. Dyer,1976,Harpercollins,34
006017143X,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers,88
0805056491,Organizing from the Inside Out,Julie Morgenstern,1998,Henry Holt &amp,5
0679401377,The Hellfire Club,Peter Straub,1996,Random House Inc,90
1562827049,The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate,Jack,75
0385306032,Vanished,Danielle Steel,1993,Delacorte Press,35
0816152446,The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,1991,Thorndike Pr,69
0821772953,The Morning After,Lisa Jackson,2004,Zebra Books,94
0345379454,Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books,23
0553576925,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,66
0743206053,Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,Simon &amp,54
0688169678,We Are Our Mothers' Daughters,Cokie Roberts,2000,Perennial,54
0439319552,Horus's Horrible Day (First Graders from Mars),Shana Corey,2001,Scholastic,9
0590870157,My Garden (Beginning Literacy),Jesse S. Ostrow,1994,Scholastic,20
0307001164,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company,54
0440441501,In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,1987,Yearling,86
0590687301,Ralph S. Mouse,Beverly Cleary,2000,Scholastic,83
0439061644,The First Journey (Animorphs. Alternamorphs, 1),K. A. Applegate,1999,32
0439569842,How Do Dinosaurs Learn to Read,Jane Yolen,2003,Scholastic,76
0307118703,My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,1997,Golden Books,50
0590418858,You Be the Jury #02,Marvin Miller,1989,Scholastic,3
030720152X,Comic Characters,Craig Boldman,1983,Golden Books,10
0816728739,The Time Machine (Troll Illustrated Classics),H. G. Wells,1992,Troll Communications Llc,73
0865050880,I Like School (in My World Series),Bobbie Kalman,1985,Crabtree Publishing Company,13
0812519655,Sacred Ground,Mercedes Lackey,1995,Tor Books,95
0812524853,Burning Water (Burning Water),Mercedes Lackey,1992,Tor Books,14
0449211770,The Tightrope Walker,Dorothy Gilman,1997,Fawcett Books,34
193072229X,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004,Inner Ocean Publishing,49
0812521129,Children of the Night,Mercedes Lackey,1990,Tor Books,96
0345251733,Rainbow the Stormy Life of Judy Garland,Christopher Finch,0,Ballantine Books,8
1400077826,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage,49
0312995431,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2004,St. Martin's Paperbacks,95
0312312628,Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004,St. Martin's Minotaur,25
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books,60
0590021117,Little House On the Prairie,Laura Ingall Wilder,0,Scholastic Inc,26
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,29
0553578693,The Next Accident,LISA GARDNER,2002,Bantam,60
0380709260,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy,56
0807565288,The Pet Shop Mystery (Boxcar Children Special (Paper), No 7),Gertrude Chandler Warner,1996,26
0312986769,In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2003,St. Martin's Minotaur,16
0345413377,The Amber Spyglass (His Dark Materials, Book 3),PHILIP PULLMAN,2001,96
0345413369,The Subtle Knife (His Dark Materials, Book 2),PHILIP PULLMAN,1998,2
0679893105,The Golden Compass (His Dark Materials, Book 1),PHILIP PULLMAN,1998,7
0061096091,Eyeshot,Lynn S. Hightower,1997,Harper Mass Market Paperbacks (Mm),53
0345369068,If Ever I Return, Pretty Peggy-O,Sharyn McCrumb,1991,28
0451184718,The Rosewood Casket,Sharyn McCrumb,1997,Signet Book,6
0449209121,The Amazing Mrs. Pollifax,Dorothy Gilman,1992,Fawcett Books,81
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,38
080411952X,The Unsung Hero,Suzanne Brockmann,2000,Ivy Books,78
0060575808,Two Princesses of Bamarre, The,Gail Carson Levine,2004,79
0060558865,Ella Enchanted (rack),Gail Carson Levine,2004,Avon,59
0767912918,Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004,Broadway,40
0553298860,Bloodlines (Dog Lover's Mysteries),Susan Conant,1994,Bantam Books,5
0385335679,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta,19
0440122090,Echoes,Maeve Binchy,1989,Dell,96
0671525832,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket,32
0553279572,The Toynbee Convector,Ray Bradbury,1989,Spectra Books,6
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,47
0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial,41
0516076272,A polar bear called Pingo,Ilona Koidahl,1974,Childrens Press,3
0679450432,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf,76
0821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books,60
0821770209,About Face,Fern Michaels,2003,Zebra Books,78
0670855758,Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995,Viking Books,30
0553562819,Globalhead,Bruce Sterling,1994,Spectra Books,84
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,94
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books,46
0425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group,29
0061042943,Final Appeal,Lisa Scottoline,1994,HarperTorch,98
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),61
0965404560,Atonement,Ian McEwan,2002,Nan A. Talese,75
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins,41
0060930705,Someone to Watch Over Me : Stories,Richard Bausch,2000,Perennial,1
0312206763,Stately Pursuits,Katie Fforde,1999,Griffin Trade Paperback,43
0316116025,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996,Little Brown &amp,15
0156013967,My Father, Dancing (Harvest Book),Bliss Broyard,2000,67
0385314019,Women on the Case,Sara Paretsky,1996,Bantam Dell Pub Group,84
0743444167,New Cardiff,Charles Webb,2002,Washington Square Press,97
0618231617,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books,8
1567920047,A Tally of Types: With Additions by Several Hands , And With a New Introduction by Mike Parker,Stanley Morison,1999,65
0811203220,Stand Still Like the Hummingbird,Henry Miller,1962,New Directions Publishing Corporation,35
1573229148,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,Riverhead Books,53
0787955671,The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,2001,Jossey-Bass,42
0425174484,Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic,Martha Beck,16
0385496907,No Future Without Forgiveness,Desmond Mpilo Tutu,2000,Image,12
0446523992,A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.,Kris Shepard,2001,41
0140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper),83
0684717255,I And Thou,Martin Buber,1971,Free Press,56
0486272745,The Prince (Dover Thrift Editions),Niccolò Machiavelli,1992,Dover Publications,84
8807120194,Sarajevo, maybe (Anni Novanta/Feltrinelli),Gianfranco Bettin,1994,93
0062507249,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco,40
0684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner,66
1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah,84
0060083298,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade,90
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,70
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,98
0807070718,Rena's Promise: A Story of Sisters in Auschwitz,Rena Kornreich Gelissen,1996,Beacon Press,49
0743213831,America the Beautiful: A Novel,Moon Unit Zappa,2001,Touchstone,92
0345305477,Easy Travel to Other Planets,Ted Mooney,1982,Ballantine Books,63
0061080519,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks,58
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,49
0316735027,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,Little,5
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing,55
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books,76
0062517856,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco,13
0679767789,Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996,Vintage Books USA,33
0449911683,My Name Is Asher Lev,Chaim Potok,1996,Ballantine Books,93
0425169626,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group,33
0449207757,Davita's Harp,Chaim Potok,1990,Fawcett Books,30
0449245691,The Book of Lights,Chaim Potok,1997,Fawcett Books,64
0140029400,The Mimic Men,V. S. Naipaul,1992,Penguin USA,62
0140021566,The Mystic Masseur,V.S. Naipaul,1993,Penguin USA,42
2253004022,Regain,Jean Giono,1987,LGF,35
2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc,75
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF,35
2266084372,Pourquoi j'ai mang�?© mon p�?¨re,Lewis,2000,Pocket,35
2070362388,Ravage,Rene Barjavel,0,Gallimard French,30
2266029460,Voyage d'une parisienne �?  Lhassa,Alexandra David-N�?©el,1989,Pocket,91
2253007102,Les Fleurs Du Mal,C. Baudelaire,1972,Livre De Poche French,30
2070417743,Chroniques martiennes,Ray Bradbury,2002,Gallimard,11
2266033689,Le Diable Au Corps,Raymond Radiguet,0,Presses Pocket French,1
2070384349,La Faute de l'abb�?© Mouret,Emile Zola,1991,Gallimard,70
207053880X,L'Homme Qui Plantait Des Arbres,Jean Giono,2002,Distribooks Inc,61
2070334368,La Guerre Des Boutons,Pergaud,0,Livre de Poche,72
2290314951,Paroles de Poilus : Lettres et carnets du front 1914-1918,Collectif,2001,J'ai lu,75
229000510X,Une porte sur l'�?©t�?©,Robert A. Heinlein,1999,J'ai lu,97
3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,Piper,68
3499177757,Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats : Amnesty for Women (Rororo Sachbuch),Cheryl Benard,1984,Rowohlt,9
3889774016,Frauen der Welt: Vom Fortschritt der Ungleichheit,Christa Wichterich,1995,Lamuv,80
3502670005,I Ging. Das Buch der Wandlung. Das gro�?�?e Weisheits- und Orakelbuch der alten Chinesen.,John. Blofeld,1999,O. W. Barth Bei Scherz,41
0905762487,African Women: Their Struggle for Economic Independence,Christine Obbo,1980,Palgrave-Macmillan,22
3499222604,Die globalisierte Frau: Berichte aus der Zukunft der Ungleichheit (Frauen aktuell),Christa Wichterich,1998,Rowohlt,60
3746670055,Women are the Niggers of the World: über Frauen, Herrenmenschen und Nietzsches Peitsche (AtV Dokument und Essay),Peter B Heim,1994,96
0140620427,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,59
3596144434,Der gemietete Mann.,Hera Lind,1999,Fischer (Tb.),17
3442724686,Der Gott der kleinen Dinge.,Arundhati Roy,1999,btb,89
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,62
0446525502,The Rescue,Nicholas Sparks,2000,Warner Books,87
0385500769,A Map of the World,Jane Hamilton,1999,Doubleday Books,50
0399147012,Edge of Danger,Jack Higgins,2001,Putnam Publishing Group,37
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,84
0688180639,Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999,HarperCollins,63
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,Little,57
0451197275,Saving Private Ryan: A Novel,Max Allan Collins,1998,Signet Book,48
0425184129,Big Trouble,Dave Barry,2002,Berkley Publishing Group,96
0151001006,Snow Falling on Cedars,David Guterson,1994,Harcourt,46
0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday,12
0679442790,The Reader,Bernhard Schlink,1997,Random House,86
0525943862,Cheaters,Eric Jerome Dickey,1999,Dutton Books,32
0609605925,Angel Falls,KRISTIN HANNAH,2000,Crown,12
0060191929,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins,51
0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp,41
0684864843,The Vineyard : A Novel,Barbara Delinsky,2000,Simon &amp,33
0684867818,The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999,Simon &amp,1
0743406176,If Only It Were True,Marc Levy,2000,Atria,14
0380978539,Dear Stranger, Dearest Friend,Laney Katz Becker,2000,53
0679603352,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library,71
0679410430,Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993,Everyman's Library,30
0446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books,64
0671042556,Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000,Atria,47
0679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc,84
0140107649,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books,88
0609606727,Julie and Romeo,Jeanne Ray,2000,Harmony,93
0446527793,The Guardian,Nicholas Sparks,2003,Warner Books,52
0446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books,57
1570717257,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark,6
0060192631,One Heart,Jane McCafferty,1999,HarperCollins Publishers,38
0385420161,Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies,90
0345339711,The Two Towers (The Lord of the Rings, Part 2),J.R.R. TOLKIEN,1986,60
052594463X,All of Me: A Voluptuous Tale,Venise T. Berry,2000,Dutton Books,98
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company,43
0399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group,82
0670031046,In This Mountain,Jan Karon,2002,Viking Books,66
0394574745,All the Pretty Horses (Border Trilogy, Vol 1),Cormac McCarthy,1992,81
0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,Little,49
0743230051,He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001,Scribner,79
0316693200,2nd Chance,James Patterson,2002,Little,31
0684868911,The Carousel : A Novel,Richard Paul Evans,2000,Simon &amp,85
0842336214,The Promise Remains,Travis Thrasher,2000,Tyndale House Publishers,5
0399148582,You Cannot Be Serious,John McEnroe,2002,Putnam Publishing Group,2
0684864320,LAKE NEWS : A Novel,Barbara Delinsky,1999,Simon &amp,99
0525944834,Liar's Game,Eric Jerome Dickey,2000,Dutton Books,48
0345428900,Out of the Blue,Sally Mandel,2000,Ballantine Books,71
0451176812,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book,36
0671525794,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984,Pocket Books,14
0718144538,Shattered Uk,Dick Francis,0,Michael Joseph Ltd,14
0446602086,The Proud and the Free,Janet Dailey,1995,Warner Vision,100
0394551427,Shoah,Claude Lanzmann,1985,Random House Inc,63
0064407667,The Bad Beginning (A Series of Unfortunate Events, Book 1),Lemony Snicket,1999,1
0007100221,TERROR FIRMA,Matthew Thomas,2001,Trafalgar Square,51
2253148539,Le Loup-garou,Boris Vian,1999,LGF,88
2253043974,Chronique d'une mort annonc�?©e,Gabriel Garcia Marquez,1987,LGF,74
2020315491,Le neveu d'Am�?©rique,Luis Sep�?ºlveda,1998,Seuil,16
0747549923,Last Exit to Brooklyn,Hubert Selby,2000,Bloomsbury Pub Ltd,58
0743462335,More George W. Bushisms: More Verbal Contortions from America's 43rd President,Jacob Weisberg,2002,Simon &amp,89
0140253580,Therapy,David Lodge,1996,Penguin Putnam~trade,20
0947782141,Scottish Ghosts,Judy Hamilton,1999,Lomond Books,61
057120354X,Awful End (Eddie Dickens Trilogy S.),Philip Ardagh,2000,Faber Children's Books,94
0349101779,The Wasp Factory,Iain Banks,0,Abacus,14
0743222229,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside,91
185479549X,The World's Stupidest Laws,David Crombie,2000,Michael O'Mara Books,60
0140292918,Of Mice and Men (Steinbeck \Essentials\),John Steinbeck,2001,Penguin Books Ltd,95
1854795554,The World's Stupidest Signs,Michael O'Mara,2000,Michael O'Mara Books,28
1858813093,Nessie: The Loch Ness Monster,Richard Brassey,2003,Trafalgar Square Books,68
2871290911,XIII, tome 13, L'enqu�?ªte : the XIII mystery,Jean Van Hamme,36
0198604025,How Not to Say What You Mean: A Dictionary of Euphemisms (Oxford Paperback Reference S.),R. W. Holder,2003,Oxford University Press,40
1842151053,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,Southwater Publishing,45
2253063339,Les Fourmis,Bernard Werber,2002,LGF,86
1860198597,How to Draw Celtic Knotwork: A Practical Handbook,Andy Sloss,0,Brockhampton Press,66
0767908473,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,2001,Broadway,78
1842040154,Celtic Myths and Legends,Charles L. Squire,2000,Lomond Books,7
0140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd,27
0571209521,Terrible Times (Eddie Dickens Trilogy S.),Philip Ardagh,2002,Faber Children's Books,64
2264009306,Cantilènes en gelée , Barnum's digest , Vingt poèmes inédits (10/18 [i.e. Dix/dix-huit] , 517),80
1841952931,Glasgow Zen,Alan Spence,2002,Canongate Books Ltd,63
0890877564,Totally Muffins Cookbook (Totally Cookbooks),Helene Siegel,1995,Celestial Arts,15
1405200677,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002,Egmont Childrens Books,15
0416196772,Eeyore's Little Book of Gloom,Alan Alexander Milne,1999,Routledge,62
0747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC,84
0375501347,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc,21
0060927240,Rule of the Bone : Novel, A,Russell Banks,1996,63
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,33
156341029X,Stone Butch Blues,Leslie Feinberg,1993,Firebrand Books,45
0060934719,stardust,Neil Gaiman,2001,Perennial,40
1886383421,Fires of Aggar,Chris Anne Wolfe,2001,Windstorm Creative,60
1888451084,Kamikaze Lust,Lauren Sanders,2000,Akashic Books,87
0451450256,Gossamer Axe,Gael Baudino,1993,New Amer Library,82
1555835953,Witchfire,Lauren Maddison,2001,Alyson Books,24
0395877563,Seven Moves,Carol Anshaw,1997,Mariner Books,83
0962893862,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ),38
1555834531,Hood,Emma Donoghue,1998,Alyson Publications,15
0393318435,Leaving Pipe Shop: Memories of Kin,Deborah McDowell,1998,W. W. Norton &amp,28
0889740828,Love Ruins Everything: A Novel,Karen X. Tulchinsky,1998,Press Gang Publishers,60
1563410443,Skin: Talking About Sex, Class &amp, Literature,Dorothy Allison,77
1563899388,Death: At Death's Door (Vertigo, Number 1),Jill Thompson,2003,84
1563411148,The Second Coming of Curly Red,Jody Seay,1999,Firebrand Books,41
0553579681,Night Mares,Manda Scott,1999,Crimeline,14
0553579673,Hen's Teeth,Manda Scott,1999,Bantam Books,62
0451181379,The Door to December,Dean R. Koontz,1994,Signet Book,29
0786889160,No Shirt, No Shoes, No Problem!,Jeff Foxworthy,52
0345370740,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books,82
0553574175,Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback)),A.C. Crispin,1998,Spectra Books,49
0553574167,The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2),A. C. Crispin,1998,15
0553574159,The Paradise Snare (Star Wars: The Han Solo Trilogy, Volume 1),A. C. Crispin,1998,15
0312287240,A Year of Full Moons,Madelyn Arnold,2002,Stonewall Inn Editions,99
0679801146,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books,82
0446300101,The Beans of Egypt, Maine,Carolyn Chute,1986,84
0821750410,Warrior Moon,Sara Orwig,1995,Zebra Books,62
0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group,44
0451456548,Cold Iron,Melisa Michaels,1997,Roc,73
0060006048,Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,2001,Avon,22
0312906552,The Space Merchants,Frederik Pohl,1987,St Martins Pr,85
0440117291,DREAMSNAKE,VONDA MCINTYRE,1986,Dell,33
0425049981,Titan,John Varley,1980,Berkley Publishing Group,13
0374386676,The Year They Burned the Books,Nancy Garden,1999,Farrar Straus Giroux,1
0786886463,A Density of Souls,Christopher Rice,2001,Miramax,74
0345395379,Slow River,Nicola Griffith,1996,Ballantine Books,96
0380788497,Changer,Jane Lindskold,1998,Eos,51
0307215342,Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,1977,Random House Childrens Books,91
0374343381,Lark in the Morning,Nancy Garden,1991,Farrar Straus &amp,2
0345403339,Saving Grace,LEE SMITH,1996,Ballantine Books,10
0440226694,Lena (50 State Quarters),JACQUELINE WOODSON,2000,Laurel Leaf,48
0440219604,I Hadn't Meant to Tell You This,Jacqueline Woodson,1995,Laurel-Leaf Books,58
0767903285,Raise the Roof: The Inspiring Inside Story of the Tennessee Lady Vols' Undefeated 1997-98 Season,Pat Head Summitt,1998,Broadway Books,49
0345429176,Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe,Richard Belzer,1999,73
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press,56
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,57
0345418778,Mostly Harmless,Douglas Adams,2000,Ballantine Books,7
0517201658,The Thorn Birds (Modern Classics),Colleen McCullough,1998,Wings,7
0743211383,Dreamcatcher,Stephen King,2001,Scribner,16
039914370X,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998,Putnam Pub Group,54
1884777805,Elements of Programming With Perl,Andrew L. Johnson,1999,Manning Publications,12
0312977905,To Catch a Cat,Marian Babson,2002,St. Martin's Minotaur,8
0812521331,People of the Wolf (The First North Americans series, Book 1),W. Michael Gear,1992,28
0451205421,The Door to December,Dean R. Koontz,2002,Signet Book,87
0894342789,College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Paul Phifer,1999,Ferguson Publishing Company,24
0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island,77
0449207595,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,1988,Fawcett Books,39
8806142267,Viaggi del tempo immobile (I coralli),Roberto Vecchioni,1996,Einaudi,83
0670844594,Rumpole on Trial,John Mortimer,1992,Penguin USA,31
